id,frequency,type,name,description,imagefile
1,DAILY,food,Morning Meals,Take a picture of your breakfast.,morning-meals
2,DAILY,outdoors,Green Spot,Snap a plant or tree near you.,green-spot
3,DAILY,health,Hydration Check,Show your water bottle at a cool spot,hydration-check
4,DAILY,mental_health,Study Time,Show your study/work desk setup (before & after).,study-time
5,DAILY,fitness,Steps Count,Capture your walking route (start & end).,steps-count
6,DAILY,mental_health,Book Break,Snap a reading spot,book-break
7,DAILY,mental_health,Clean Space,Before/after photo of tidied area.,clean-space
8,DAILY,health,Healthy Snack,Photo of a fruit/healthy snack.,healthy-snack
9,DAILY,outdoors,Sky Watch,Snap today’s sky from where you are.,sky-watch
10,DAILY,health,Water Source,Show a safe water point near you (two angles/points).,water-source
11,DAILY,health,Handwash Time,Show proper handwash setup.,handwash-time
12,DAILY,fitness,Move 10,"Share short activity moments (e.g., warm-up / mid / end).",move-10
13,DAILY,health,Refill & Reuse,Reusable bottle/mug in action (refill + usage).,refill-and-reuse
14,DAILY,social,Community Smile,A candid smiling moment.,community-smile
15,DAILY,mental_health,Grateful One,Five things you’re thankful for—capture each.,grateful-one
31,DAILY,food,Lunch Spot,Show your lunch spot today,lunch-spot
32,DAILY,food,Favorite Pizza,Snap your favorite pizza slice,favorite-pizza
33,DAILY,food,Best Taco Near You,Find the best taco near you,best-taco-near-you
34,DAILY,food,10/10 Dessert,Show a dessert you would rate 10/10,10-10-dessert
35,DAILY,food,Smoothie or Juice,Snap your favorite smoothie or juice,smoothie-or-juice
36,DAILY,food,Go-To Boba,Show your go-to boba drink,go-to-boba
37,DAILY,food,Hidden Bakery,Find a hidden bakery,hidden-bakery
38,DAILY,food,Favorite Burger,Snap your favorite burger,favorite-burger
39,DAILY,food,Best-Looking Pasta,Show your best-looking pasta dish,best-looking-pasta
40,DAILY,food,Food Truck Find,Visit a food truck and snap your order,food-truck-find
41,DAILY,food,Favorite Ice Cream,Show your favorite ice cream flavor,favorite-ice-cream
42,DAILY,food,Colorful Meal,Snap a colorful meal,colorful-meal
43,DAILY,food,Late-Night Snack,Show your late-night snack,late-night-snack
44,DAILY,food,Outdoor Seating Restaurant,Find a restaurant with outdoor seating,outdoor-seating-restaurant
45,DAILY,food,Favorite Brunch Plate,Snap your favorite brunch plate,favorite-brunch-plate
46,DAILY,food,Favorite Fries,Show your favorite fries,favorite-fries
47,DAILY,food,Best Sandwich Near You,Find the best sandwich near you,best-sandwich-near-you
48,DAILY,food,Drink With A View,Snap a drink with a view,drink-with-a-view
49,DAILY,food,Hidden Local Restaurant,Show a local restaurant you think more people should know about,hidden-local-restaurant
50,DAILY,food,Something Spicy,Snap something spicy,something-spicy
51,DAILY,coffee,Favorite Coffee Shop,Show your favorite coffee shop,favorite-coffee-shop
52,DAILY,coffee,Morning Coffee,Snap your morning coffee,morning-coffee
53,DAILY,coffee,Cool Cafe Interior,Find a cafe with cool interior design,cool-cafe-interior
54,DAILY,coffee,Favorite Study Spot,Show your favorite study spot,favorite-study-spot
55,DAILY,coffee,Latte Art,Snap a latte art design,latte-art
56,DAILY,coffee,Coziest Cafe,Find the coziest cafe nearby,coziest-cafe
57,DAILY,coffee,Cafe With Outdoor Seating,Show a cafe with outdoor seating,cafe-with-outdoor-seating
58,DAILY,coffee,Tea or Matcha,Snap your favorite tea or matcha,tea-or-matcha
59,DAILY,coffee,Untried Cafe,Find a cafe you have never tried before,untried-cafe
60,DAILY,coffee,Favorite Cafe Pastry,Show your favorite pastry at a cafe,favorite-cafe-pastry
61,DAILY,outdoors,Best View From Here,Snap the best view from where you are,best-view-from-here
62,DAILY,outdoors,Favorite Park,Show your favorite park,favorite-park
63,DAILY,outdoors,Peaceful Bench,Find a peaceful bench,peaceful-bench
64,DAILY,outdoors,"Tree, Flower, or Plant","Snap a cool tree, flower, or plant",tree-flower-or-plant
65,DAILY,outdoors,Waterfront View,Show a waterfront view,waterfront-view
66,DAILY,outdoors,Best Skyline View,Find the best skyline view,best-skyline-view
67,DAILY,outdoors,Moon Tonight,Snap the moon tonight,moon-tonight
68,DAILY,outdoors,Cloud Formation,Show a cloud formation that looks interesting,cloud-formation
69,DAILY,outdoors,Favorite Walking Route,Snap your favorite walking route,favorite-walking-route
70,DAILY,outdoors,Quiet Outdoor Place,Find a quiet place outdoors,quiet-outdoor-place
71,DAILY,outdoors,View From A Bridge,Show the best view from a bridge,view-from-a-bridge
72,DAILY,outdoors,Something Green,Snap something green,something-green
73,DAILY,outdoors,Favorite Trail or Path,Show your favorite trail or path,favorite-trail-or-path
74,DAILY,outdoors,Good Sunlight Spot,Find a place with good sunlight,good-sunlight-spot
75,DAILY,outdoors,Reflection Shot,"Snap a reflection in water, glass, or a mirror",reflection-shot
76,DAILY,city,Cool Building,Snap a cool building,cool-building
77,DAILY,city,Favorite Street Corner,Show your favorite street corner,favorite-street-corner
78,DAILY,city,Colorful Wall,Find a colorful wall,colorful-wall
79,DAILY,city,Unique Storefront,Snap a unique storefront,unique-storefront
80,DAILY,city,Interesting Street Sign,Show a street sign with an interesting name,interesting-street-sign
81,DAILY,city,Walk-Past Place,Find a place you have walked past but never entered,walk-past-place
82,DAILY,city,Cool Doorway,Snap a cool doorway or entrance,cool-doorway
83,DAILY,city,Local Landmark,Show a local landmark,local-landmark
84,DAILY,city,Hidden Alley,Find a hidden alley or side street,hidden-alley
85,DAILY,city,Favorite Neighborhood Spot,Snap your favorite neighborhood spot,favorite-neighborhood-spot
86,DAILY,city,Busy City Moment,Show a busy city moment,busy-city-moment
87,DAILY,city,Neon Lights,Find a place with neon lights,neon-lights
88,DAILY,city,Public Clock or Fountain,"Snap a public clock, fountain, or statue",public-clock-or-fountain
